hs1	1309110	1310875	AURKAIP1
hs1	1337288	1342693	MRPL20
hs1	1407143	1433228	ATAD3B
hs1	1447531	1470067	ATAD3A
hs1	1682671	1711896	NADK
hs1	1853396	1935276	C1orf222
hs1	2336236	2345236	PEX10
hs1	2517930	2522908	FAM213B
hs1	6324333	6454451	ACOT7
hs1	6694228	6761984	DNAJC11
hs1	8014351	8045565	PARK7
hs1	9294863	9331396	H6PD
hs1	9599541	9642831	SLC25A33
hs1	10270764	10441661	KIF1B
hs1	10532345	10690815	PEX14
hs1	11845780	11866977	MTHFR
hs1	12040238	12073571	MFN2
hs1	15898848	15911605	AGMAT
hs1	16062900	16067891	SLC25A34
hs1	16340523	16346089	HSPB7
hs1	17345217	17380665	SDHB
hs1	19197926	19229275	ALDH4A1
hs1	19630459	19638640	AKR7A2
hs1	19923477	19956314	MINOS1
hs1	20301925	20306932	PLA2G2A
hs1	20825943	20834654	MUL1
hs1	20959948	20978004	PINK1
hs1	21835858	21904905	ALPL
hs1	24018269	24022915	RPL11
hs1	24128375	24165110	HMGCL
hs1	24171567	24194784	FUCA1
hs1	25071848	25170815	CLIC4
hs1	27276053	27286897	C1orf172
hs1	28562620	28573417	ATPIF1
hs1	29519385	29557454	MECR
hs1	31838472	31849697	FABP3
hs1	32687529	32697205	EIF3I
hs1	32712834	32714457	FAM167B
hs1	33473585	33546597	AK2
hs1	35178338	35325417	C1orf212
hs1	36921319	36930038	MRPS15
hs1	38326369	38412729	INPP5B
hs1	39328636	39347289	MYCBP
hs1	39491990	39500308	NDUFS5
hs1	40235195	40237020	OXCT2
hs1	40306708	40349183	TRIT1
hs1	40538379	40563375	PPT1
hs1	45316450	45452282	EIF2B3
hs1	45792545	45794347	HPDL
hs1	45794835	45806142	MUTYH
hs1	45965725	45976739	MMACHC
hs1	45976708	45988719	PRDX1
hs1	46769303	46782448	UQCRH
hs1	47098409	47139539	ATPAF1
hs1	47799469	47844511	CMPK1
hs1	52254863	52344477	NRD1
hs1	52373628	52456436	RAB3B
hs1	53392901	53517375	SCP2
hs1	53662101	53679869	CPT2
hs1	53878821	53905693	SLC25A3P1
hs1	54649714	54686603	MRPL37
hs1	55007930	55104865	ACOT11
hs1	55222571	55230187	PARS2
hs1	55315300	55352921	DHCR24
hs1	55532032	55681039	USP24
hs1	58881056	59012474	OMA1
hs1	64058916	64125916	PGM1
hs1	65613232	65697828	AK4
hs1	70726271	70820417	ANKRD13C
hs1	70876901	70905534	CTH
hs1	76190036	76253260	ACADM
hs1	84964008	84972248	GNG5
hs1	85784168	86044046	DDAH1
hs1	87170259	87213867	SH3GLB1
hs1	89401456	89458636	CCBL2
hs1	94883933	94984222	ABCD3
hs1	97543299	98386605	DPYD
hs1	100315640	100389579	AGL
hs1	100659634	100715390	DBT
hs1	108676658	108743471	SLC25A24
hs1	109756540	109780791	SARS
hs1	109941653	109969062	PSMA5
hs1	110943871	110950564	HBXIP
hs1	111991486	112005395	ATP5F1
hs1	113243728	113250056	RHOC
hs1	113245236	113258099	PPM1J
hs1	113454469	113499635	SLC16A1
hs1	116915290	116952883	ATP1A1
hs1	119573839	119683294	WARS2
hs1	119911402	119936753	HAO2
hs1	119957554	119965658	HSD3B2
hs1	120049821	120057681	HSD3B1
hs1	120202421	120286838	PHGDH
hs1	120290619	120311528	HMGCS2
hs1	145413095	145417545	HFE2
hs1	145516252	145523730	PEX11B
hs1	145726918	145764074	PDZK1
hs1	147119170	147142618	ACP6
hs1	149858486	149872351	BOLA1
hs1	150266289	150281414	MRPS21
hs1	150459887	150480078	TARS2
hs1	150480538	150486265	ECM1
hs1	150547032	150552073	MCL1
hs1	151227179	151239955	PSMD4
hs1	151372010	151374420	PSMB4
hs1	151732119	151736040	MRPL9
hs1	151742583	151763892	TDRKH
hs1	151818220	151826173	THEM5
hs1	151846060	151882284	THEM4
hs1	152850793	152857523	SMCP
hs1	153746830	153752633	SLC27A3
hs1	154244987	154248351	HAX1
hs1	154934774	154946871	SHC1
hs1	155178490	155183614	MTX1
hs1	155204239	155214653	GBA
hs1	155278539	155290457	FDPS
hs1	155657751	155708803	DAP3
hs1	156024543	156028301	LAMTOR2
hs1	156163880	156182587	SLC25A44
hs1	156561542	156564091	APOA1BP
hs1	156707095	156711382	MRPL24
hs1	160007257	160040038	KCNJ10
hs1	160160285	160171676	CASQ1
hs1	160246602	160256138	PEX19
hs1	161087876	161095235	NIT1
hs1	161122566	161128646	UFC1
hs1	161136200	161147803	PPOX
hs1	161166894	161184185	NDUFS2
hs1	161195793	161200408	TOMM40L
hs1	161284047	161332984	SDHC
hs1	165600098	165631033	MGST3
hs1	165631453	165668100	ALDH9A1
hs1	167885967	167906278	BRP44
hs1	169433147	169455241	SLC19A2
hs1	171060018	171086959	FMO3
hs1	173446405	173457946	PRDX6
hs1	173793641	173827684	DARS2
hs1	174979925	174992561	MRPS14
hs1	179519674	179545087	NPHS2
hs1	182542769	182558391	RNASEL
hs1	182758428	182799519	NPL
hs1	193065598	193075244	GLRX2
hs1	201924619	201939789	TIMM17A
hs1	202930997	202936408	CYB5R1
hs1	205797150	205819260	PM20D1
hs1	209859510	209908295	HSD11B1
hs1	212965170	212989968	TATDN3
hs1	213165524	213189168	ANGEL2
hs1	220141943	220220000	EPRS
hs1	220267444	220321380	IARS2
hs1	220960101	220987735	MARC1
hs1	220921567	220958150	MARC2
hs1	226332380	226374431	ACBD3
hs1	227085237	227175246	ADCK3
hs1	228294380	228297013	MRPL55
hs1	228353516	228369958	IBA57
hs1	229652329	229694442	ABCB10
hs1	231376953	231413719	GNPAT
hs1	234509202	234519795	C1orf31
hs1	235272651	235292251	TOMM20
hs1	235490665	235507847	GGPS1
hs1	241660903	241683061	FH
hs1	241695434	241758944	KMO
hs1	244998624	245008359	COX20
hs1	246703862	246729626	TFB2M
hs1	246887349	246931439	SCCPDH
hs2	1377995	1547483	TPO
